,State,City,Population,Total,Murder andNonnegligentmanslaughter,Rape1,Robbery,Aggravatedassault,Total,Burglary,Larceny-theft,Motorvehicletheft,Arson2
54,Minnesota,St. Paul,306696,650.81,7.17,70.75,227.26,345.62,3565.42,741.45,2144.47,679.5,46.63
55,Missouri,Kansas City,484948,1724.31,30.93,91.76,383.13,1218.48,4543.79,960.52,2670.39,912.88,41.45
56,Missouri,St. Louis,310284,2082.29,66.07,93.14,626.52,1296.55,6041.24,1011.33,4155.55,874.36,64.78
57,Nebraska,Omaha,449388,647.32,6.9,91.24,139.08,410.11,3880.17,464.63,2636.7,778.84,
58,Nevada,Henderson,299285,185.11,3.34,28.74,80.19,72.84,1833.04,363.87,1254.99,214.18,7.02
59,Nevada,Las Vegas,627244,618.9,12.6,79.64,211.15,315.5,2943.38,805.17,1635.16,503.06,5.59
60,Nevada,North Las Vegas,242537,1014.69,9.07,47.83,232.95,724.84,2386.03,804.0,1037.37,544.66,4.54
61,Nevada,Reno,248531,673.56,7.64,57.14,153.7,455.07,3085.73,541.98,1967.56,576.19,7.24
62,New Jersey,Jersey City,267906,509.51,7.84,45.91,199.32,256.43,1806.98,417.68,1206.02,183.27,14.18
63,New Jersey,Newark,283673,896.45,27.14,40.89,377.19,451.22,2395.01,423.73,1128.06,843.22,25.38
64,New Mexico,Albuquerque,561375,1369.14,12.47,84.26,521.93,750.48,7365.84,1246.23,4750.84,1368.78,
65,New York,Buffalo,256169,1019.25,15.61,55.43,334.54,613.66,3836.14,919.71,2591.26,325.18,74.95
66,New York,New York,8616333,538.9,3.39,27.56,162.42,345.52,1448.59,128.87,1253.15,66.56,
67,North Carolina8,Charlotte-Mecklenburg,914609,,9.4,,220.53,433.52,3815.18,701.5,2827.0,286.68,21.21
68,North Carolina8,Durham,269088,,8.55,,316.63,467.13,3826.26,867.37,2675.7,283.18,11.52
69,North Carolina8,Greensboro,290051,,15.86,,228.93,480.61,3562.13,710.91,2559.55,291.67,39.65
70,Ohio,Cincinnati,299116,947.12,23.4,97.62,399.84,426.26,5049.88,1152.73,3400.69,496.46,
71,Ohio,Cleveland,385351,1556.76,27.77,128.97,699.88,700.14,4916.04,1518.87,2516.15,881.01,65.65
72,Ohio,Columbus,872205,513.41,16.28,105.37,225.06,166.7,3944.94,815.29,2650.87,478.79,43.45
73,Ohio,"Toledo4,5,7",277116,,12.63,,281.47,661.82,4003.74,1119.75,2615.15,268.84,
74,Oklahoma,Oklahoma City,648260,787.34,12.49,73.12,172.77,528.95,3752.51,941.75,2378.83,431.93,12.65
75,Oklahoma,Tulsa,404868,1040.83,17.29,104.48,238.1,680.96,5455.61,1376.75,3224.26,854.6,35.57
76,Oregon,Portland,649408,515.7,3.7,67.45,160.92,283.64,5677.02,729.13,3824.56,1123.33,47.27
77,Pennsylvania,Philadelphia,1575595,947.58,20.06,75.02,382.46,470.04,3063.48,418.25,2297.23,348.0,26.21
